"RID","gender","age","education","IPIP50Agreeableness_1","IPIP50Agreeableness_2","IPIP50Agreeableness_3","IPIP50Agreeableness_4","IPIP50Agreeableness_5","IPIP50Agreeableness_6","IPIP50Agreeableness_7","IPIP50Agreeableness_8","IPIP50Agreeableness_9","IPIP50Agreeableness_10","IPIP50Conscientiousness_1","IPIP50Conscientiousness_2","IPIP50Conscientiousness_3","IPIP50Conscientiousness_4","IPIP50Conscientiousness_5","IPIP50Conscientiousness_6","IPIP50Conscientiousness_7","IPIP50Conscientiousness_8","IPIP50Conscientiousness_9","IPIP50Conscientiousness_10","IPIP50EmotionalStability_1","IPIP50EmotionalStability_2","IPIP50EmotionalStability_3","IPIP50EmotionalStability_4","IPIP50EmotionalStability_5","IPIP50EmotionalStability_6","IPIP50EmotionalStability_7","IPIP50EmotionalStability_8","IPIP50EmotionalStability_9","IPIP50EmotionalStability_10","IPIP50Extraversion_1","IPIP50Extraversion_2","IPIP50Extraversion_3","IPIP50Extraversion_4","IPIP50Extraversion_5","IPIP50Extraversion_6","IPIP50Extraversion_7","IPIP50Extraversion_8","IPIP50Extraversion_9","IPIP50Extraversion_10","IPIP50Intellect_1","IPIP50Intellect_2","IPIP50Intellect_3","IPIP50Intellect_4","IPIP50Intellect_5","IPIP50Intellect_6","IPIP50Intellect_7","IPIP50Intellect_8","IPIP50Intellect_9","IPIP50Intellect_10"
386650,"female",19,"CurrentInUniv",3.70069967245759,3.96989088797269,5,5,5.96297765626852,4.21915024021417,1,2.89474039612107,2,5,5,4,4.90793301691816,5.11256468918153,1.96092381946556,4.29372862382509,6,5,4.61850462132064,1,1,5.4032124755075,5.25115178314966,6,5.75037345373125,7.03822368659663,6,6,1,2,6,2.10042118587013,2,4.05290152597656,6,4.66424064197536,5.33316289142043,3.61598844915192,6,4.28069004064156,4.55632573238433,3.71056082333683,0.582890691537878,4.26375527619819,3,5,2,0.869917215423842,2,5
422829,"male",22,"CurrentInUniv",4.93265187731965,5.23933390745059,5,4,4,2.18103843532065,2,4.34423033397397,3,4,1,2,-0.042516912932073,3.24475736598658,4,5.20626010654888,6,6,4.08678447417371,3,4,3,4,3,4.4236951153061,4,3,1.93549412526606,3,4,5,5.42750921510569,5,3.98671626810635,4,3,3.46891887311126,4.91634716734641,3,2.69917150560279,4,5.00992394708954,4.24474242837771,5,6,4,6,2.19849927162051,3,2
428304,"female",50,"GradOrProDegree",4.27553123089372,4.41276417720313,5,3,4.62607006260903,5.77725464364258,2,3.22706532429562,3,1,1,4,2.08445905492248,1.88268510842847,3.69364424438223,4.71761735377353,5,6,5.24309824805931,5,3,3.68658347023299,4.50214196810884,5,4.03266421042523,4.04938577531732,4,2.72420979312294,2,4,3,2.01147424083393,1,1.54151088084844,5,3.22950808495555,6.3389946115115,5.95972515065853,5,2.15690353383218,4.07838769396808,4.5223423050203,4.40174181525666,6.19509248693248,4,5,5,2.75515542820937,2,3
447028,"female",22,"CollegeDegree",4.70113118316469,5.86491045641426,6,6,4.01713426289008,4.17903504872083,2,2.96710643891879,1,1,1,1,0.901388328667847,1.59132400071336,4.73878675097217,5.61330347521369,6,6,3.57936213619055,5,3,2.86502880473845,2.09773527640598,5,1.71186456191913,2.07565290935728,3,2.23372295501638,5,4,6,4.46510154607245,5,4.17236246403956,5,2.51469207241604,3.39009089720481,0.823023619591034,1,1.09515181825701,5.73819409445145,4.70553306148814,4.75624990014307,6.16984620568449,5,5,6,1.88476331233284,1,1
453951,"male",29,"GradOrProDegree",4.85614856931701,4.79689244346971,5,5,4.06089287796076,4.8868983938519,3,2.20466579145605,2,2,3,5,3.61894215236227,3.43733531254146,4.52091662639983,4.02473130325528,5,2,3.16937108145971,3,5,4.11777060593594,5.43346712956225,4,2.95203602225452,3.23038894777219,3,2.64191388452213,3,5,4,5.52639628160656,5,5.64183372570774,5,1.97595402559562,3.0053551940456,3.16863891320228,4,1.37518670076789,4.46490417574582,4.92129009117755,3.37056515873709,4.79147835517863,6,6,5,1.71378972952502,2,2
484831,"female",20,"CurrentInUniv",5.02254218738461,6.00416592424892,4.78734338063939,6.60511512188098,5,3.5308570139078,-0.816519384262691,1.04367815450033,1.44917617951471,2.55097115602759,1.39861411258019,-0.492697150528518,-0.867238154991721,0.832587580574701,5,4.87311277013773,5.82666942174519,6.09662076654287,3.20331533639163,6.40805623358673,2.85366848217968,3,2,5.26995238621525,2.8720214460878,5,3.43777875951637,2.95880130059894,2.9730517512891,2.69295705061943,3.8835948020748,0.782832284266159,2.16870962248573,3.44166218844961,3.8630626046549,5,3.79389939906419,3.858487256604,5.58415508632838,2.19262198874248,4,5.15485815539094,3.9856662687285,5,3.18121843683733,1.76999866179572,5.60215610790623,4.5914976040371,2.19348927057256,2.17064450313325
488350,"male",31,"CurrentInUniv",4,6,4,4,4.42051425456603,4,2,3,5,4,2,1,1,2,5.4281184414494,6,6,6,6,4,3,3.99247610509665,3.62310253173463,6,5,2.92208407110627,4,3.85309336008902,3,3,4,1,4,5,3,3.61649623767118,5,5,5,2,4.5842445592338,4,5,5.12073474911927,5,5,5,2,2,5
507507,"male",18,"HSgrad",4.26549285836345,5.96386409194212,4,5,4,4.57446661414021,6,3.87821103829283,4,4,3,2,1.09023543646543,0.45316200568865,5,4.91547704818468,5,5,4.46720056851107,4,4,5,3,4,5.57077882237152,6,5,0.571927958471869,3,5,4,3.48811469320224,5,9.26296007729181,6,1,4.98563336384537,4.76125684979565,3,-1.57804485742988,5,7.72751450575684,5.73184836180156,5,5,4,5,5.19765297517851,3,3
520132,"male",29,"CollegeDegree",1,1,1.97140030423004,1.74003337875207,2,1,2.9004798150715,6,5.64964886190301,4.9968144472762,2.52568667095027,4.03117486264865,4,1,4,5,4.55846429199257,4.47841863053362,1,1.84175835980611,2.04009373491361,1,1,3.07574028585113,1,2,2.60980305778347,2.80933153407151,2.76764673574563,5.15863680955054,2.8584042264383,1,2.07248400572847,1,2.32004605998733,5,5,6,4.75519671751366,2,5,6,1,5,4.56664199950406,4.0480389868967,1.78008083983407,2,-0.641042217673336,3.46529461548173
555817,"female",41,"GradOrProDegree",5,5,5.42724990138985,5.94979770533231,5.43191737089632,4,1.72312599357747,1,2.92670016041582,2.83346567761609,3.55461375367285,3.87805912912148,4,1,4.21455299587056,3,4.24551840362914,5.16436204682359,2,3.97258773370859,1.70714647488261,0.912388281607415,1.29414839244131,1.97164972639401,1,0.604206978410177,1.1227553138399,1.25988908639241,3.80058507859744,5.98204924028815,5.09842082909985,5,4.87120214995247,6,5.55238225285554,2.77713534969192,2,1,2.8071240851136,1,5.66912379987923,6,3,4.18503485636952,6.44270740943432,4.88140551892772,3.64713693807405,1,3.54943857510944,3.49971681447827
593009,"male",45,"GradOrProDegree",5.30879294250355,4.86933910634148,4,4,4.97975066416744,5.01152511826731,2,2.52490130836241,4,1,2,1,0.785072062917775,1.57913410319617,5.14293579142763,5.6626575406906,6,6,5.13042627098982,4,2,3.1261908712334,3.38274177878527,4,3.00955022010953,3.08198128865404,3,2.20608278023654,3,3,3,2.90970507022342,2,2.86804479895738,5,2.59559685074894,4.72072804933473,4.01922035866218,3,2.36431133550021,5.94917826028288,5.61242899810286,6.90040789124296,4.43602209132802,5,5,5,1.73869689544569,1,1
597497,"female",18,"HSgrad",2.22077648855864,3.41345311667711,5,6,2.84344165278154,3.85424331482063,6,1.25092397565879,2,5,6,4,5.30023100573873,4.23660869514012,4.53981924122222,4.46652618530193,4,2,1.62794050718624,2,4,4.13577530347167,3.26233928154509,6,3.25732971830101,2.70174506970312,2,2.9184617894768,4,5,5,6.12342648904301,2,5.30267438275358,5,1.21907942496979,3.97959613873619,-1.0107453791005,2,2.55293611126987,4.95074096203365,4.51716997365122,7.27086544650694,6.29028731260863,5,5,5,3.04065286977072,1,2
604553,"male",20,"CurrentInUniv",6,5,5.8654137216693,6.92271696934726,6.25166999149632,5,1.24253584949639,2,2.51911792854805,3.59512725151362,5.84187276041517,3.72032149290589,6,2,4.19821024252302,1,4.4279927569572,3.22818682435384,1,1.68057990040784,2.41399374824704,0.950986356974579,1.33142015361315,4.13546212658039,1,1.62718065456015,1.99603516566641,2.49018517943498,3.6722499324212,6.34118396428073,7.54559238925953,5,6.70232924000148,6,5.23042472973762,1.35707812259457,3,2,2.39899117227913,2,5.71066973413419,6,2,4.7687045574229,6.63028920094525,5.1778422613331,4.15445575146588,1,1.1355658452485,2.65000730598416
634404,"female",19,"CurrentInUniv",4.24212130817198,4.8024192924964,5,6,5,4.01691864954115,1,1.18550203491217,1,1,1,1,-1.11952261850662,4.26486224710078,5,5.67289160832331,6,5,6.36218669277576,5,2,4,3,4,2.51786375579949,3,5,2.91669160952774,3,3,5,3.84534115440912,4,8.66593681506188,4,1,1.13289218864036,0.804114129810029,1,0.614183050181334,4,3.1140545424886,7.20367766296258,5,4,4,4,2.0933195883003,5,4
656962,"female",30,"GradOrProDegree",5.90763587471456,4.6954357955249,6.23328334439115,5.68281878001624,5,4.66201993372966,2.3174435693343,2.24639924048524,1.99758883068476,3.7012054020432,2.82766711299621,2.27770375157427,4.32452550714159,2.94419837658317,5,3.7800793340423,5.46086112377481,4.38216664493166,2.67556434849672,2.13126332995097,3.10273644523427,2,1,3.4127816942312,1.81648788270404,2,2.52921612151736,1.20806568202538,3.64767743110513,6.94636960634387,5.4417278365705,4.15634107497675,3.2831730640566,2.94684336574569,3.78808117336197,4,4.38792638613591,4.77144165556188,3.14851995799303,2.54785355673414,6,7.07069769460443,4.85169542399381,6,6.38805621770353,4.07987614159543,5.51115241088355,3.33164677146983,1.97715014552013,2.19953031901215
661113,"female",43,"SomeCollege",3.798496868909,4.34332297846985,5,5,5.37684019654163,4.0095198652458,2,1.41580721325601,2,3,5,4,2.92874147799434,4.25685610436792,4.21387771202815,4.78618677449351,6,5,2.79293911736883,2,5,4.1932548913481,4.23070807159711,6,5.18200980473864,4.152565719344,6,5.68298942436215,2,2,5,3.33139845954303,2,4.22993298289946,4,4.30945610946014,3.38004232333448,2.1807146258014,4,3.61763501359022,4.51569441679906,3.66321701774109,2.91593269920839,6.52781103707102,4,5,3,0.706967163833014,2,3
669997,"female",27,"GradOrProDegree",6,6,5.9839988325769,7.27914049621678,5.55732831961255,6,0.593814522487059,1,1.21982300360324,1.20072220909674,3.39213585223634,3.98793140529498,5,4,4.38351687848395,6,6.86098475361553,4.76806503276858,5,1.82211295780333,3.7335347787857,3.59947423247597,3.6436791910495,5.38006630733539,1,5.03177741855964,8.23637315888296,4.58817987541478,4.84035489975359,3.64830906396549,5.93642801363105,6,6.22548246202258,5,4.68761805825826,2.89240312437753,1,3,1.21549939315578,3,5.89270245821491,4,1,4.73305587394438,4.92875814339219,6.26187225003151,3.6991694866058,1,4.62292617178739,6.53791819835647
673523,"male",25,"GradOrProDegree",5,5,4.21109523036435,4.23057500966013,4.32826363156743,5,2.36653710381041,4,3.01539393102266,1.99084571641966,3.91227541994159,4.62462729834018,5,1,5.94386850670746,5,4.89464489831172,4.9611995720751,5,3.38499763837875,1.80851972889618,0.991050426997256,4.94772933647781,1.68405528282337,1,-0.814162446729232,2.856748560679,3.24826326533641,5.18846052427065,4.26933032641742,1.88002655390414,5,3.24024823342926,2,1.61494723557441,5.68529884299638,2,6,2.44442295227195,5,6.09052764534825,5,5,6.57861453399434,5.79635399923304,6.01711605986197,4.73997659153586,1,1.01601151483369,1.56910669665583
678890,"male",18,"less12yrs",6,5,5.00782296336613,5.01871482941253,5.9040841061894,6,1.60364442171162,1,4.73428485130147,1.8891549742922,3.46526387124631,6.28172627883128,5,3,3.12209340878233,1,4.08772347401688,0.774824020153047,3,3.83401912371995,2.10126167370828,4.89968620479928,7.57058328584879,3.76302964404112,6,2.13242442045216,4.9281307143557,3.86983898683335,1.23127105444927,3.84124344436561,2.7605734126106,4,1.79108023485941,6,5.37852191760894,2.01151799497001,2,6,6.32972063531871,1,4.26091667933084,4,6,4.8703392197146,4.82451501040585,5.10855082212841,3.36552191944623,1,3.04158631502793,1.11549869512557
679221,"female",19,"CurrentInUniv",3.47871606886563,5.1058862828137,4,4,6,5.13038062263745,4,4.83007308432326,2,3,4,4,5.02442659786855,4.82555126753886,4,3.97891638103063,4,4,2.78495481161323,3,4,5,4,5,4.48222613514415,4,5,5,4,4,3,3.17645948894024,4,4.98549897983687,3,4,3.91546120319352,2.80484127275195,4,4.9826512564485,4,4.12148057443264,4.2280850160622,6,4,4,2,3.55521899897761,3,3
709061,"male",38,"CollegeDegree",4.12268313124036,4.66995335478732,3.98807953305576,3.42156205055722,5,3.96222294221975,3.41394312568068,2.15361231790527,5.09021298429395,3.38056110423164,4.83101473333772,4.72858127533198,5.17090739962008,3.21052694958241,4,2.57608145944022,4.39012983143445,2.90500652874702,5.16822962782975,3.03206967393509,3.10466326703484,3,5,4.32567327090705,5.25565780949396,4,4.54673532738415,3.76511340151507,2.98954371931673,3.38067258581828,2.79414506901802,3.57381599174739,4.10724458569028,4.54351341726941,4.44560993644998,2,6.28086324357783,5.34398569068446,3.35966098676969,2.70444211558964,4,4.68656381879366,1.95051434337235,3,4.03187178927181,5.3372607691949,2.69368265774924,1.99131770710575,3.81536221156938,3.26817046273994
710019,"male",24,"CurrentInUniv",3.22524577146394,2.32147274269783,2,1,1,3.08449097914716,5,5.44727607390838,5,2,2,1,0.629151491924812,4.34876557936507,6,6.61220260527465,5,5,5.49290108849303,5,2,4,4,5,3.23818848093505,5,5,2.99214809228017,2,1,2,1.75871806813346,1,-0.537749628320614,2,6,7.74770546232438,4.86879291471277,1,3.48419010112319,6,5.69864115107594,5.32489860031993,6,6,6,6,0.650539348559522,1,1
769992,"female",51,"CurrentInUniv",6.7594789896711,6.15199494094889,5.74269417987725,5.02670215267758,6,6.07036696622331,2.19439874862224,2.55727271240129,1.03062015484118,0.710307548741915,3.05034757858075,2.89031703480477,4.36933081701915,1.88993769243885,5,4.02305222582265,5.1966391867089,3.18528088727485,5.55773172063706,5.36460562634814,1.03668752400554,3,3,3.75250260697467,2.2684898317734,3,0.680905200917336,2.14438525457661,4.86155465235368,5.3787465810698,5.29321058541059,5.26533784107183,5.18812420241314,5.16868140044561,4.26139294661596,1,2.44340644110945,2.50584144123775,4.01497566110419,1.51784531126858,4,5.62905654146826,2.47322518248411,5,3.75215229832033,4.64605661944277,3.76639463908209,3.6105101380297,2.5628442524123,2.67908156673402
782800,"female",51,"CurrentInUniv",6,5,6,2,7.33067674031981,6,1,5,3,1,4,1,2,2,5.83863113483951,5,4,2,1,5,5,5.51775400775467,3.42784051700793,5,1,2.44133843280124,4,4.81108151984885,4,3,4,1,5,1,2.05141340454388,7.19314941312655,6,6,5,6,3.71922835671557,3.68259689271909,2,5.8730193043266,5,5,5,2,5,6
793787,"female",17,"less12yrs",6,4,5,6,3.65793666309549,4,1,1,2,2,4,2,2,4,3.50471413982784,4,5,6,3,2,3,2.54228486894115,1.30107017151886,5,3,5.33814693591269,4,3.20764013453099,6,3,5,6,4,5,6,0.822051320389772,2,1,1,1,5.07708980498749,5,5,8.24302469155267,5,4,5,2,1,5
831293,"male",18,"CurrentInUniv",4,4,4.20313748472511,4.80820301802519,4,2,1.72278906373632,2,3.6254981248535,3.62257610847182,2.49723483728301,4.98489987440799,2,4,4,5,6.39740076200222,5.07107238784845,4,4.73480230246967,2.55661982008175,3,5,4.2149488854817,4,4,5.15227515943329,3.80831043545772,2.11180243491188,2.71015085052469,2.5756783578282,4,3.34873424653283,5,3.88470729042444,4,5,6,3.29912921749363,2,4,4,4,4,4.47240808292696,3.68615472775154,4.49621026036952,3,3.37276070886791,1.88582703991067
844106,"female",17,"less12yrs",4.47930403659085,6.51869910327358,5.10659594772826,5.52123041537507,5,5.10075382743769,3.1381054650384,2.96965942822876,1.56506966027487,1.46218904907903,3.76882458742295,3.24860534262395,1.50729120967671,2.18426063695032,3,4.54212127114063,3.68115261803804,6.04194798185561,4.41057598149357,1.9458265921141,1.70337773093302,2,4,3.24031763939349,3.38372462285926,3,2.17311618381224,2.14916435345848,2.97285543972611,2.77935375216121,4.54027382260992,4.08377046717969,3.95020409221372,4.94038781960606,5.55699308997857,2,3.59693124421832,3.47016535608084,1.69249728811951,2.25980884603366,6,5.9136294264942,6.54413340245036,6,5.20382874265706,5.20503282328322,6.06470543515173,1.61412510955447,1.12106444159267,0.703753696270628
853593,"male",38,"CollegeDegree",7.15645355192162,5.13544656178383,6,4,6,4.8898894588801,1,1.37001035910415,2,1,3,3,4.08536206022893,1.97955325566243,6,4.46122034493291,6,4,5.78799350665821,3,6,5,6,6,5.19942274831583,4,6,4.9764878628423,1,2,4,2.89702124276147,5,5.19663121909443,4,1,4.73416266263414,2.33540230050676,2,2.6329048005078,5,3.9889755771277,3.83771164286434,6,5,5,4,2.1906330935584,2,2
858373,"female",18,"CurrentInUniv",4.96809161052312,6.04417638528339,5,6,5,3.76751943003394,1,1.39010829482368,2,1,4,3,3.41571798939489,1.732847741542,5,5.72137751166469,6,6,5.85758883927227,5,2,4,2,5,3.86266509271706,4,5,3.36904991826004,5,3,5,4.22107522138021,5,2.97525804953328,5,2,3.47023350763587,2.61915403450978,3,1.49744514372463,5,6.4772027446324,2.75651590714592,4,4,6,5,2.01500427818539,2,2
898555,"female",19,"CurrentInUniv",5,4,2.44785734703168,3.6821229171661,3.95779291269022,5,3.52912794001448,5,2.4293524527236,0.978958904463298,3.03551133166459,1.12840959647889,2,2,4.60521371157576,5,3.54881174380942,4.29498092477479,5,3.69576868304559,0.342248642316616,3.72120948337155,2.6531968603499,1.68662022405153,4,3.43188046685022,1.32953141586939,1.70890666797562,4.130416792393,5.6157250402116,4.53695524056402,5,4.47753459744577,5,4.23693202303212,2.49214968185077,2,3,2.74181778783737,2,6.93845529099177,6,5,5.15441822542803,6.58977965522551,4.77012417816979,3.56611402360953,1,1.15342862275598,1.43827115610326
931726,"male",49,"CollegeDegree",5,5,4.32253563872718,4.55450346275768,5,4,2.95264241001621,2,1.36839791857832,2.52906746425347,4.32399571516834,3.32516023115474,4,4,2,4,3.35234402200429,4.04795177868717,4,2.73391443971283,2.77472682436325,4,3,4.00176187386099,5,3,4.67578294425927,4.41802011981432,4.34597304916457,3.20417263322362,3.47115030098176,3,2.49373008448973,4,5.39350914135661,3,4,3,2.35860869127218,2,6,5,6,6,4.78332543856797,4.87522768964658,3.78839702470606,1,1.37691005112322,1.45530215114607
975264,"female",55,"less12yrs",5,5,5,6,4.71166816939146,6,2,1,2,4,4,2,1,2,5.64763037204305,5,6,5,4,3,4,1.41126364206351,1.37731149022123,5,1,3.66245273768297,4,2.09416919186993,4,6,5,2,3,5,4,4.64872510891872,5,4,4,1,4.95529741206498,5,5,5.40585720528762,5,5,6,2,3,5
1002586,"male",19,"CurrentInUniv",3,4,3,5,3.61965427292783,4,4,4,3,3,3,3,3,3,2.55771270552301,3,4,2,3,2,3,4.21883571158344,5.02202758742113,4,4,4.14709222835172,3,3.85078817676296,2,3,3,2,3,5,4,3.86542486680301,5,4,5,4,4.55533583765956,4,4,3.52666839277368,4,4,3,3,1,2
1011865,"male",48,"GradOrProDegree",3.98263802337813,3.95472230993278,4,4,4,5.19119263416172,4,4.04861376447229,4,2,5,4,6.083883046441,1.67196703612333,5,3.85938582463828,5,2,3.50573379395326,2,3,4,4,3,2.19614762309278,4,3,3.18445832108174,3,4,4,2.88279125013021,2,3.87777118651434,5,5,4.88590209812551,4.34490985236574,4,3.58005803611108,5,4.95377118807486,5.85892138955009,5,5,5,5,2.45777592203939,2,5
1028694,"male",19,"CurrentInUniv",6,6,6,3,6.92885747017525,6,6,6,3,2,3,6,6,6,4.01968240714149,6,3,2,6,6,6,4.8656296685664,7.0598670618251,3,6,4.61029463725662,3,2.54504673886749,6,3,3,6,4,6,6,2.62319918293202,6,6,6,6,2.59061384197586,6,6,5.94565980591657,6,3,3,6,6,3
1043091,"male",25,"CurrentInUniv",3.17252432522171,3.35442325513042,3.89026499659118,4.84205205198394,2,5.44756807688452,3.35738046014915,2.53349879310396,2.18657040771532,1.73274480954281,1.77677084486073,1.7077498588704,0.769208487117675,0.639166517039013,6,6.54280930155306,5.12943641616627,4.35926585858948,4.07736970686255,3.26725754891478,3.97891052177817,4,5,3.88929064562248,1.51873168605198,4,4.23676042578601,2.86905868968706,1.12218516360744,3.96883192871738,4.37982286117998,2.04049076809836,2.06591158666901,3.90782580412641,1.16206541570719,6,4.02359490658085,4.54340254728391,5.81765188431138,4.83384925204846,4.15448417261218,4.40304320640092,2.34567241609544,6,4.2451847209052,2.96811096238816,5.92225611015788,4.55976247653017,2.96094064907649,2.93987422256135
1044163,"male",46,"CollegeDegree",5,6,6.14255349675944,4.48656435803858,6,5,0.885906825501332,1,1.76004813938902,1.9729925519124,3.65047836434891,4.66057818979728,5,2,6,5.06793157871219,5.99032765447692,5.14091866478961,5,1.87417372341405,3.19742543367889,1,1,5.01254343178495,1,1,4.19571371177972,2,4.44905300546729,5.38326971749046,4.62858646299946,5,3.651527717427,2,2.7725635496719,2,5,5,2.3687586062262,2,6,5.98058535381412,5,6,5.85357725978901,6.65152893008766,5.98719654654499,1,2.23607119621942,1.82655158206836
