"RID","gender","age","education","miniIPIP20Agreeableness_1","miniIPIP20Agreeableness_2","miniIPIP20Agreeableness_3","miniIPIP20Agreeableness_4","miniIPIP20Conscientiousness_1","miniIPIP20Conscientiousness_2","miniIPIP20Conscientiousness_3","miniIPIP20Conscientiousness_4","miniIPIP20EmotionalStability_1","miniIPIP20EmotionalStability_2","miniIPIP20EmotionalStability_3","miniIPIP20EmotionalStability_4","miniIPIP20Extraversion_1","miniIPIP20Extraversion_2","miniIPIP20Extraversion_3","miniIPIP20Extraversion_4","miniIPIP20Intellect_1","miniIPIP20Intellect_2","miniIPIP20Intellect_3","miniIPIP20Intellect_4"
447028,"female",22,"CollegeDegree",6,1,5.78279942538202,0.384521124465066,5,1.4690934555365,6.47950308576301,1,0.430323106491711,4,1.51158875945781,5,5,2.78278465606857,3.79974382653601,1,5,1,1,1.01388819728618
453951,"male",29,"GradOrProDegree",5,2,5.57079244719032,0.419023202790869,3,5.2607153010885,2.96496074725656,5,4.59461278956418,5,5.242101009303,3,5,1.78014879500981,3.60385828394492,4,6,2,2,1.52368592350695
484831,"female",20,"CurrentInUniv",3.81418588362368,1.5626851949949,3.24818631582165,2.3890351377836,1.84693118315139,4.73858473461856,4.00151531252154,3.25296797407102,3,3.83234037167214,2.52723272758177,3.41176163769556,1.27774539305617,5,3.1639903104005,4.46095511448478,4.12152632618094,2.81727346283706,2.04677437788482,1.20192878975409
488350,"male",31,"CurrentInUniv",4,5,4,3,4,1,6,1,4.19806823883756,3,2.04173227485387,3,4,4.90730690817373,5,5,5,2,5,2
507507,"male",18,"HSgrad",4,4,6.29110159676171,2.11065996599332,4,3.01229110493631,3.54671091271314,2,5,5,4.17388937978278,3,5,1,4.12323082945721,3,4,3,3,5.07797487273706
520132,"male",29,"CollegeDegree",2.11275182599789,6.61815039936737,1,6,3.07170172027508,4,5,4.64691406298279,1,3.08417073114062,0.564433048382321,3.07661825039837,2.78838233868584,5,1,3.57927904462238,3.7381799608125,6.97914830769612,5.75815722423917,2
555817,"female",41,"GradOrProDegree",4.34217862892069,3.29339076102751,5,1,4.07105405553544,4,3,2.31304747910503,5.35616922396093,3.97246927985934,4.44906064455911,3.83897479290719,4.36650563357136,3.9473364917204,6,4.4695011063602,5.9023666034364,1.06992889991677,-0.0754862944128614,1
593009,"male",45,"GradOrProDegree",4,4,4.02214895376594,1.86263347008129,4,1.23269530828501,2.68989097535768,1,4.1161059601207,3,3.41139962696642,3,2,4.28055217898404,2.24632886252117,3,5,1,1,0.340988142319103
597497,"female",18,"HSgrad",5,2,5.2777608517387,1.70275587612017,2,4.13595976117714,2.32983631240946,4,3.03073680043625,5,3.43675341067686,4,2,2.91061231018262,1.05610301122184,2,5,1,2,1.88027909075645
604553,"male",20,"CurrentInUniv",4.20551757456945,4.05867541649451,6,2,3.20482583593953,6,1,4.2679647201523,5.11820256279831,2.20924893093392,6.97500054876577,3.30071096168973,6.62623153857494,-0.110006646860862,6,0.273658039807146,5.4924256240773,2.45265081278581,3.41550799804254,1
634404,"female",19,"CurrentInUniv",5,1,4.22972292679869,0.604679465093551,5,3.38528006234252,4.13374154226575,1,4,3,3.56386335591471,3,4,1,4.47047986616596,1,4,5,4,2.99301804205187
656962,"female",30,"GradOrProDegree",5.53954924778363,2.36589825159847,5.20670008792943,0.468696154590758,2.33234788252419,3.14352660402094,3.62215299504627,3.68425718588247,2,5.78270182370598,2.12858539819204,3.42149460238183,0.528822203195587,4,1.85762705583831,4.68010528547606,5.01127866418026,0.19574845697723,-0.283693700349615,0.59678507642873
661113,"female",43,"SomeCollege",5,2,4.10582982262013,2.84221303761893,2,3.30928843163485,4.75473321723984,4,3.5330549625195,2,3.37356653391739,2,2,4.08974271335406,2.8914880324684,4,5,2,3,0.929451952510159
669997,"female",27,"GradOrProDegree",5.35052383130415,1.23996919285929,6,1,3.40447127022713,5,6,4.3240560016401,3.60089468375626,5.46562769904084,3.16681805868485,0.877975632638946,4.98959290965758,3.2576169635539,5,3.98017530948336,5.55766734317992,2.37128849054945,1.58102147506152,1
673523,"male",25,"GradOrProDegree",4.4475225971795,2.65524260855713,5,4,5.37955181061085,5,5,3.29038062241658,3.35019565776988,4.58319183953021,2.31622407077301,3.26417265819614,2.77806142943618,4.26124234167253,2,6.4096831446757,4.40682692275658,2.83046077335355,4.22881076238674,1
678890,"male",18,"less12yrs",7.95709114498581,2.50092587156555,6,1,1.47846645523096,5,1,3.03249422459288,3.68592528704855,4.31571568038365,3.90318552997089,4.65644921865269,3.25468852341957,3.27594628234399,6,2.92341430293412,5.87790936097359,1.12655407463241,4.22891254566781,1
679221,"female",19,"CurrentInUniv",4,2,4.69301257017527,2.39588168635893,3,4.76931805768671,2.82167112740306,4,5,4,5,4,4,4,5.03639875926762,4,4,3,3,3.82076744781841
709061,"male",38,"CollegeDegree",2.62230254794981,4.5950512126765,4.15168206765661,1.10406408746114,5.36556503704945,2.69554461849978,3.3307101592865,0.759142999445369,3,1.9558096495758,4.11215833187301,4.64410098222392,3.14345260500663,2,4.80509087329541,1.56742807202599,3.78592953840885,3.74526586404857,1.91127200715396,3.04690673444132
710019,"male",24,"CurrentInUniv",2,5,4.13361569962694,2.07901698248917,5,-0.175217651813944,4.67097732944806,1,4,1,3.34525744361697,2,1,6,-1.44271156523172,1,6,1,1,-1.25796283326905
769992,"female",51,"CurrentInUniv",4.30043317080352,2.58307238000707,3.44118190176816,2.0139532579231,1.31452049277081,5.58526202773845,2.46409888045915,2.55850470561819,3,5.5556469963976,2.40641490039922,6.17990948767433,2.37755554878799,1,4.3937194199408,2.94974979700323,3.99971489907475,2.00523176547075,1.66208066530743,3.30164770547566
782800,"female",51,"CurrentInUniv",6,3,6,5,5,2,5,1,3.19277959799136,3,1.50305239235176,4,5,6.72604211586389,1,5,5,5,6,2
793787,"female",17,"less12yrs",5,2,6,1,2,2,4,2,2.52668784989598,3,3.30616545121334,6,4,1.2250312834937,5,1,4,1,5,2
831293,"male",18,"CurrentInUniv",4.51803003718697,1.90007536112497,4,2,4.17049245910932,2,5,0.699421199418622,3,3.62037826624874,2.55831088529216,5.9658808164304,5.61651214290108,4,5,2.93979429123956,3.51749844871603,2.30812437404619,3.82376524056342,3
844106,"female",17,"less12yrs",2.56329914269503,3.93357126836735,2.77586338291586,3.72871352770539,2.24301593186822,2.83035349619006,7.5941345335315,4.38594530752617,2,1.15885607322983,1.66226360963114,3.64795299301058,4.33953612637076,2,1.61412731845651,0.697645273818739,5.30926788154381,3.53695923295453,4.15106317748912,0.678528700770543
853593,"male",38,"CollegeDegree",6,2,5.89278772577078,2.28215699571009,3,5.07488435645751,1.5377285098192,3,5,2,6.38394820701228,1,5,1,6.45451432900698,2,5,2,2,1.59956874171087
858373,"female",18,"CurrentInUniv",5,2,6.27078875054064,1.07658416474912,5,4.23343992065186,5.95410480429835,3,4,3,3.73033537251133,5,5,2,4.72649856393864,3,6,2,2,1.96291100404892
898555,"female",19,"CurrentInUniv",2.30034446492066,4.39398926839772,5,5,4.97086790133889,2,5,2.24612139767491,2.4708524749851,3.03707749636076,1.58624146627104,5.15389060525888,6.35326121721758,1.40345078193303,5,2.08607063912363,4.49659286281405,3.71254567605138,3.08865143814043,1
931726,"male",49,"CollegeDegree",5.43050133217499,2.66295664029865,5,2,3.78286132836124,4,4,2.41727893511719,4,4.12596080928092,3.03036225631794,2.99942281069461,3.58353659086487,3,4,3.21682778278139,5.75571131323843,1.80181899046622,1.8455176993005,1
975264,"female",55,"less12yrs",5,2,5,1,3,1,5,2,4.50750602763195,6,1.08877144285435,4,3,1.23491740248927,5,4,5,3,5,2
1002586,"male",19,"CurrentInUniv",3,3,3,4,2,3,3,3,6.7393812679703,3,4.80913375504122,2,3,3.74483946428227,5,5,4,1,2,3
1011865,"male",48,"GradOrProDegree",4,4,4.61630682574452,3.65875952335261,2,5.10965580535168,3.22305792484369,4,4,4,3.63481538363345,3,2,5,0.607085627833357,4,5,2,5,1.08955703399105
1028694,"male",19,"CurrentInUniv",6,3,6,6,6,6,6,6,0.513453650959387,3,1.85628125960799,6,4,4.29231385532139,6,6,3,6,3,6
1043091,"male",25,"CurrentInUniv",5.10646559301272,3.99376407884333,4.15752106667082,2.28604973394589,2.95439121177193,3.54073987851068,3.95727178515329,1.94974574667601,4,3.29987454034557,2.99291355858109,2.3711632584151,0.368099640056154,6,0.929862573264336,5.8949156406239,5.03912462318785,2.20410347996692,3.41225950759346,2.02228048022607
1044163,"male",46,"CollegeDegree",6.28130378430676,1.78188262281969,5,1,2.49942695876669,5,6.80017543964779,4.69191950376948,1,3.06239476665458,2,3.01763555080955,2.39199647137363,2,2,2.93959029603198,5.74008074221151,3.35228888713823,2.66477569683263,1
1044758,"female",19,"CurrentInUniv",5,2,4.93733339992281,1.18208688943609,3,1.03978632219612,4.07509128818128,2,1.29618522841604,4,2.48219443317062,2,1,4.98100939864554,1.60127993010946,3,3,2,2,2.38927824048031
1090696,"male",20,"CurrentInUniv",4.90145603601917,1.48542461894776,5,1,3.75281614890881,4,5,2.83180979186151,5.81061709824592,2.79996717229883,4.33045016465007,2.59774998680625,3.60340468887352,2.09051723699643,6,3.35964089151419,6.6277597073669,0.801559124682713,2.64750715785591,1
1093427,"female",17,"less12yrs",5,2,5.70331626378626,2.04504501336132,5,5.68529058245809,5.81455948681295,2,3.76635288703785,5,2,5,3,3.33567291872951,4.27745378069386,5,5,3,2,3.32476733857896
1096513,"female",19,"CurrentInUniv",3.7214689168141,3.26647190196592,6,4,1.38762994978,6,3,2.06817235929652,5.38700963351842,3.97292192366681,3.97100358481559,2.5818171868774,6.11655868089814,0.44524027306026,5,-0.197973776423502,6.45786920623937,2.12959108928874,4.22553716931644,1
1109449,"male",31,"CollegeDegree",6.18912354895166,1.55318711824535,5,1,4.17949512101037,6,5,3.04038026246622,3,4.42630917056738,2.71409190230854,4.50014358454473,1.81552073655019,4,4,5.67486050044086,6.42225019984139,0.929838796840412,-0.158777156231924,1
1135687,"female",20,"HSgrad",5.37740299682752,2.85295025663448,6,3,2.95179677146351,4,3,1.89216470505863,1.55076215612261,4.47310227299589,2.9736378153563,2.31738605847823,6.69098620196244,4.34615347801546,4,1.00911477396139,2.96161783414519,6.87569135073277,5.34213439462632,4
1255206,"male",18,"SomeCollege",5,3,5,4,3,5,4,4,2.6493402922005,5,3.04756638675289,1,5,2.42364170644993,3,2,4,4,2,5
1258414,"female",17,"less12yrs",3.78741754593619,3.5621655435156,4,4,2.5453404499298,4,5,3.92397083424959,4,2.841971306083,3.43773413513755,2.28684398973191,3.61790245187403,3,4,4.44773984852637,5.08911177247133,2.16464516465434,3.81148183448807,2
1263333,"female",34,"CollegeDegree",6,2,3.92148446613652,1.06991950827898,2,4.20021188399526,4.48463797118275,1,2,4,1,6,1,5,3.50690654102613,4,6,1,1,0.878423269687891
1274999,"female",17,"less12yrs",6,1,4.75560092192832,0.803470774195519,2,3.5307822266175,6.0450564790037,3,3,3,2.6907268376897,5,5,1,3.34009586418559,1,6,3,4,2.86300676412775
1348351,"female",33,"GradOrProDegree",6.49536293830458,0.802074676541079,5,1,4.26027754284317,2,6,0.347926197735877,1,4.6704369893983,0.486201341252329,3.41222031640834,3.775829858974,2,5,2.00303300179406,4.49558725992307,1.20331511287907,0.738104353307909,1
1400373,"female",20,"CurrentInUniv",6,1,5,1,1,4,4,2,2.33832620202127,4,2,3,3,1.98196410057876,2,1,5,1,1,2
1408720,"female",25,"CollegeDegree",4.01844310430998,4.31984768525908,5,2,4.65167625155943,5,4,2.03241926810115,3.69075136996988,3.75666641973986,3.28291268211867,4.31535507058213,3.864743888245,2.04553195779199,4,1.52620193832735,5.89543652171034,2.74116178926864,2.68959956093657,2
1462949,"male",27,"CurrentInUniv",4.27562993947766,3.94902835975023,1,4,-1.36340395601524,4,5,5.45835189242159,-0.347618218017792,3.98021292391138,2.27029570419697,2.51762553669844,4.68056091525515,4.3756069136552,4,2.93607396739478,2.98006293215563,3.79903280617665,3.11902181936979,5
1517942,"male",26,"CurrentInUniv",4,3,2.88757688785673,1.39534950652957,2,4.33977781816956,2.724520197359,3,0.27667594463141,3,3.8527946342827,5,5,2.53508802640078,4.22833832577336,1,4,1,1,0.261289193056876
1527313,"female",47,"GradOrProDegree",4.91223014414286,2.7521179873463,6,1,5.93241948233298,1,6,0.703904920449919,3.48398755577412,2.97558120202872,2.22697639801616,2.8799050800919,4.49725057952282,2.64267834968837,6,2.40272468428571,5.13814995233055,2.26003226950492,1.24583662797166,1
1532971,"male",20,"CurrentInUniv",5,2,7.96721306383353,1.75963036964583,6,1.72721571498751,5.1381305514039,2,5.58538849301707,5,3.67551593218678,2,6,2.50961827976064,5.71997884090854,4,6,1,1,1.4770317029801
1551511,"female",23,"CurrentInUniv",6,2,6.64779561471216,0.793832672126269,5,4.86254471296475,5.01422481743382,2,3,4,3.10620470909254,5,3,3,4.01569196760963,2,5,2,2,3.41446910267225
1616143,"female",30,"CollegeDegree",6,1,4.07746985847257,2.34916635707275,2,4.47740831869452,5.51444021789787,2,4,4,1.88136328142178,4,3,4,3.72233632651925,4,6,1,1,2.0745272141843
1621727,"female",33,"CollegeDegree",5,2,3.16450264058613,0.695554384834522,2,3.61346692029995,3.08156880885728,2,1.62133363817344,5,1.72400328066777,5,2,1.03021075811543,4.38642918565398,2,5,2,2,0.5429693582088
1627455,"male",55,"GradOrProDegree",5,2,5,2,3,4,4,4,1.25787809813867,4,3.46326920398469,5,5,2.12893447562411,5,3,3,3,4,3
1635868,"male",15,"less12yrs",5.56871284217505,1.80786694685891,3,2,1.14708941304046,3,5,2.99804410277112,1,4.97991822637645,1.92576754403618,1.08973585984334,3.56561453910898,3,5,3.76994160417002,3.60577886309163,1.16867999870419,1.24485184834355,2
1646524,"female",34,"SomeCollege",4.71215650214843,1.83813068074585,3,1,1.33318241255238,6,5,4.83830296186748,1.72771001735685,3.41035466539173,3.93109061781798,5.37912336643393,4.63780199334494,2.17326580764074,6,1.15057074667264,2.9680461412404,3.63297724413856,4.31778898374684,5
1655072,"female",20,"CurrentInUniv",4,3,3.18449577834605,2.56587485659,3,4.48942154127379,1.42632169145557,2,5.28407386286709,5,4.033575793183,3,2,6.94355299794215,3.7141822300306,5,4,3,2,3.12381252724574
1657529,"male",17,"less12yrs",6,1,4.44897964096842,2.2583800599902,2,4.24870159999328,6.0600397619655,5,4.02224389785453,2,2.8773664011622,3,2,1.66300187689795,2.62172439460638,3,6,2,4,1.3005364291516
1660490,"female",32,"CurrentInUniv",5,2,4,2,4,2,5,2,3.58966413565879,5,0.109174718980655,6,3,-0.621476428191481,5,2,6,2,3,1
1662582,"female",27,"GradOrProDegree",4.02878194991067,3.52480819660217,5,2,5.79914648365493,1,6,0.891193919421069,1,4.05343046242267,0.342720980484287,4.83963504778663,1.07613560160827,4,1,3.32590872367098,4.30411817409173,2.88320381613173,2.30663020641684,1
1688928,"female",38,"GradOrProDegree",6,4,6.71735227759619,0.794625968386506,6,1.47641359749667,5.24169501971243,1,1.89198458600748,2,2.9309645793296,4,4,2.40280880894113,4.44295940522021,2,5,3,4,1.56900925608647
1690609,"male",32,"CollegeDegree",3.99062669747367,3.60233865697983,4.13040130339888,1.26888611863694,1.58882578333969,3.59057959544165,3.78810570772837,5.9034248733824,1,2.94399353164656,4.18902893662721,3.01861380499442,1.47980432960229,2,3.93571262836184,3.53188133094608,3.16839259232759,3.27894638501942,3.02523015938098,2.41619089615557
1744131,"male",20,"CurrentInUniv",6,1,5.4495306063341,2.44707195116628,1,6.1271922102365,2.62183045548524,6,6,5,4.04487468095375,2,1,3,2.14921311123507,5,6,3,4,1.51440592616762
1799590,"female",22,"GradOrProDegree",4.67705707379133,3.41356683866584,6.63581224585502,0.68734342270967,6.15370122160247,3.28726699341055,3.77490643387629,1.83741230638459,4,6.6666807610269,1.8822127502853,5.64074410762497,3.30882938056042,1,5.42637228022898,3.96041661053104,6.18908524333655,1.854511520274,-0.822407976636378,2.45890331176287
1802061,"female",40,"CurrentInUniv",2.28893775344573,3.96213121242766,4.21728385924151,4.33954503075411,1.74820356452859,3.98818509169496,3.8354369201207,3.43319889677003,6,3.50166671777232,3.35991640687894,2.87885162695523,4.98190178657113,3,2.08411365768509,2.90055260953313,6.63290403001126,4.70964356989352,3.2787493828863,1.89137149518742
1805306,"male",32,"GradOrProDegree",3.78023974020895,3,3.31859392736128,3.72364801584097,2,3.53007068124269,5.4461251465266,2,4.6805050842589,4,2.02261270031282,3,3,4.3007569160217,3.67488824935548,5,4,3,4,3.77897217117521
1817054,"female",19,"SomeCollege",5.78343052231585,2.22483624717908,5,2,6.28915477597512,1,6,0.839823798125431,3,3.84948493350876,1.43624280864966,2.46347686804428,2.57494643937647,4,5,5.20791615563715,5.0814525777008,1.10951575023078,1.69274244045357,1
1824322,"female",35,"CollegeDegree",6,2,6,3,3,1,5,3,-0.0177834683770417,1,3.94963732636051,1,2,5.86895017924976,3,5,2,2,2,3
1836398,"female",21,"CurrentInUniv",5,2,6,2,5,3,3,2,4.10130904876345,5,2.77866025591956,4.70058234754617,4,2.84300409476107,4,3,5,2,2,2
1844063,"female",28,"GradOrProDegree",5,2,5.94726165611073,1.93497884764166,5,4.97359403669568,5.35394078246423,3,2.80694110851868,6,0.468824091448795,6,4,0.0852301593806892,4.73968096433988,1,6,3,2,2.0545396171974
1846672,"female",61,"GradOrProDegree",3,4.46247665728101,2.58148620571633,2.8705956199784,1,2.25812949429925,3.61170065700965,1,4,2,2.50465549656077,4,2,4,1.72337846011129,3,6,1,1,-0.492348290766138
1912454,"female",28,"GradOrProDegree",5.18866750557089,1.96082884457713,4,2,1.82837991654453,2,4,2.22871724871035,1,3.48098644052601,2.40438005467112,3.31943538052149,3.45468610986664,5,4,2.92278444825943,3.7375973704884,2.29871056574992,2.74769781058567,1
1915224,"male",20,"CurrentInUniv",2.71681367291241,3.14649031285689,3,2,1.89113218361541,4,1.74456273169839,3.95633034135992,4.84178507063561,4.7542864680923,4.3893952104159,1.94210505730454,1.91747180538355,1.46777642712979,5,2.74010825836112,3.33326197876858,5.20102973978593,4.87682154733724,4
1931736,"male",34,"GradOrProDegree",6,2,5,2,1,1,6,4,1.16927243208382,4,1.47288400924468,2,2,5.53756438571041,3,5,4,2,2,2
1949655,"female",50,"CurrentInUniv",4.5566671302036,2.56525235872352,6,1,5.42347406220773,2,5,2.86141010481734,4.05102163501417,2.99554651491524,4.1830538367854,4.23144244176641,1.73485255264706,3.39906119935979,5,4.79376890367847,3.28844323222002,1.59260055939941,1.51695991867974,5
1952900,"male",22,"GradOrProDegree",4.31775090035048,3.47956354187481,4,4,2.61840962870125,3,6,3.5431995166534,2.41244453717611,3.14959994554969,1,5.08612387012557,6.62597109245254,1.45361793359216,5,0.451086726027317,6.2850578702593,2.92888278992779,3.62342135217491,1
1980405,"female",22,"CurrentInUniv",5,2,5.9100720413783,1.20876273125429,4,4.91304512021961,2.7970699029574,4,4,4,4.98206304631242,3,4,2,5.38181111819418,2,4,4,3,3.40681274169749
1980793,"female",32,"CollegeDegree",5.15178379102217,2.33419641067258,6.14398219853014,4.794612937667,5.73182082291191,3.98395102521939,7.77669664247833,1.38813832167548,5,3.11594803778208,1.22563482175892,2.73643178792355,-0.462045042129047,6,3.26205454929996,8.30411716368854,4.75269582398194,1.09140009219181,2.56194152195689,3.52014816204442
2019142,"male",33,"CollegeDegree",2,3,1.97033390385862,2.76118598660488,1,1.97948484728062,4.03753427820547,3,4,2,3.30348019308994,2,3,2,3.5540494839566,3,5,2,1,0.104620895211259
2026079,"female",19,"SomeCollege",5,1,5,1,6,3,4,3,5.13201455997244,3,5.22169721073954,4,6,3.58322518334874,6,4,6,2,2,1
2033195,"male",20,"CurrentInUniv",4,4,4.91163085475295,3.14377204319053,1,5.68811590244521,-0.0358665722640534,5,5,4,5.50696773366107,3,2,3,1.19154257568512,2,6,2,5,0.651056595295284
2066468,"male",42,"SomeCollege",3.92511316405653,3.91176327179674,5.54357543181057,2.40235358447656,4.95575202216133,3.26377245501969,3.42120724551565,1.74651490680256,6,4.60907674614939,2.86019196972551,2.99434413499268,4.16953787625084,1,5.03494932608385,2.67896904910398,7.2132026110124,1.74326080844004,1.90001050669981,-0.396710830744982
2089185,"female",18,"CurrentInUniv",5,3,4.88685670265009,3.2180080598692,5,0.300159714762732,3.41440983382482,1,3.48530569284837,5,1.43694128397939,1,4,2.85596872919662,3.34692351534702,2,6,1,1,-0.240675616750126
2130066,"female",18,"HSgrad",5.00280099329346,4.2396215062909,6,1,3.39365324727741,4,1,4.11931434285719,2.32177720066622,5.95921746346121,4.22332670507502,5.03525319729775,5.30599351650294,1.25449765468915,4,1.90140433587191,5.48694276205695,1.86733312525062,2.09028920757987,1
2135624,"female",28,"SomeCollege",4.76241612217123,4.65690698874268,2,2,1.99768427412828,4,4,5.73017025763038,0.646137095072962,2.1382929285774,3.08612423861327,3.240980269809,1.93260140358266,4.11656682864127,1,3.27212354142982,4.53898671850989,4.58687251518547,2.774033029779,2
2148078,"female",22,"CurrentInUniv",4,5,5,1,1,2,6,4,3.35977267739242,2,2.82509515021455,1,1,-0.412784503188569,6,4,6,2,2,1
2193393,"female",17,"less12yrs",3,4,3.28894324005334,2.43792721879138,3,3.11829450146634,2.19996768348025,1,6,3,3.71589479567697,5,6,1,5.07403876730447,1,6,4,2,1.35774665336606
2265095,"female",29,"SomeCollege",5,4,5,2,4,6,3,3,3.16756435683866,5,2.68588817415896,3.2368316023117,1,3.04033267431342,4,5,5,4,3,2
2273388,"female",22,"CurrentInUniv",5,5,4.39562612028826,2.32784776608629,2,4.6366103376084,3.42537306166602,4,2.527831409846,3,4.03623569538091,4,4,4.39007414993531,3.3089149389302,4,5,3,2,3.04501641291084
2282716,"female",20,"CurrentInUniv",6,1,5.02743889094741,0.211903045714033,2,5.1988512329414,3.57654432256068,4,6,3,5.4085666863238,2,1,4,2.07651225470641,5,6,2,2,2.62259872787998
2285896,"female",53,"GradOrProDegree",4.11818031385629,3.68137198127453,6,1,4.30441252786293,1,6,0.0116246988828372,2,2.97470066361685,1.31296049756587,6.06167102120422,4.83579932320339,1,6,1.8878299228062,5.5765417147081,3.142283472429,3.00405209526437,1
2288060,"female",19,"CurrentInUniv",5,1,6.02896177453482,0.445894658194138,5,4.93947392932958,4.39861666121332,2,5.68368523692012,3,4.1163895827451,4,1,2.08306656447955,2.52800214777116,4,6,2,1,1.27106881749472
2295133,"female",39,"CurrentInUniv",5,4,6.08532684658034,2.04557391805527,4,3.08626300961173,4.24058600773702,2,5,4,3.3840124778358,2,2,4,2.11667436084545,5,5,3,4,2.64846143347969
2301278,"female",19,"CurrentInUniv",4,3,5.23943602833072,2.85349975953716,3,3.89498731770408,2.01441671115342,4,4.99163419534769,3,5.21909192528606,2,1,2.72174926172537,3.39628495962835,5,5,2,2,1.92996122066245
2339384,"female",24,"CollegeDegree",6,2,6,2,5,3,4,2,4.57623216726342,5,2.43053832199275,2,4,0.126791169056145,6,2,6,3,3,2
2380450,"female",24,"CurrentInUniv",3.91539003786442,5.3215608260642,5,2,3.98874032766097,1,5,1.63790199793127,4.57648295770453,2.16866351413477,2.25384381946688,2.56960214323027,1.56072414507077,1.64726734289129,2,2.94059334350967,7.0070907745291,3.42923878907612,3.18197477090603,1
2383996,"female",48,"GradOrProDegree",5,1,3.28365546585166,1.3491858942827,2,3.00982370295865,4.81177467064862,3,2.55189133769756,3,2.61803514040872,5,2,5.12851231941447,2.56050626876262,5,4,2,1,2.13478734953374
2406063,"female",65,"CollegeDegree",3.96281834663199,3.58474168519587,3.7750975879237,2.20759100505816,2.39575439636761,1.87535098708342,4.82664950913136,2.02203194324437,4,3.99286078253448,2.60400659539767,2.65042647019114,4.92867924356985,3,4.17564155544592,3.84693438834631,4.8767101756802,4.53786801577655,1.32877856004593,4.32539923154283
2420518,"female",19,"CurrentInUniv",7.10962676278735,-0.0639674498051788,6,1,5.0670076675013,3,5,1.9259220126484,2,5.02400582107446,1.14977019838147,4.87574821024294,1.54970543731835,4,3,4.92619667288933,4.29016768899901,3.25869323037147,3.44011524490983,2
