dataset,old_name,item_text,scale,category,label,item_name,year,new_name,reverse,mini,maxi,recode
bbp,BBP15122,Divorced,,Life Event,,Divorce,2011,Life Event__Divorce.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15022,Divorced,,Life Event,,Divorce,2012,Life Event__Divorce.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15722,Divorced,,Life Event,,Divorce,2013,Life Event__Divorce.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15022,Divorced,,Life Event,,Divorce,2014,Life Event__Divorce.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17322,Divorced,,Life Event,,Divorce,2015,Life Event__Divorce.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15322,Father Died,,Life Event,,DadDied,2005,Life Event__DadDied.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14122,Father Died,,Life Event,,DadDied,2006,Life Event__DadDied.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14825,Father Died,,Life Event,,DadDied,2007,Life Event__DadDied.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15425,Father Died,,Life Event,,DadDied,2008,Life Event__DadDied.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15625,Father Died,,Life Event,,DadDied,2009,Life Event__DadDied.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15925,Father Died,,Life Event,,DadDied,2010,Life Event__DadDied.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15128,Father Died,,Life Event,,DadDied,2011,Life Event__DadDied.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15028,Father Died,,Life Event,,DadDied,2012,Life Event__DadDied.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15728,Father Died,,Life Event,,DadDied,2013,Life Event__DadDied.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15028,Father Died,,Life Event,,DadDied,2014,Life Event__DadDied.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17328,Father Died,,Life Event,,DadDied,2015,Life Event__DadDied.2015,1,,,1 = experienced; 0 = did not experience
bbp,BBP15101,Got Together with a New Partner,,Life Event,,NewPart,2011,Life Event__NewPart.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15001,Got Together with a New Partner,,Life Event,,NewPart,2012,Life Event__NewPart.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15701,Got Together with a New Partner,,Life Event,,NewPart,2013,Life Event__NewPart.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15001,Got Together with a New Partner,,Life Event,,NewPart,2014,Life Event__NewPart.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17301,Got Together with a New Partner,,Life Event,,NewPart,2015,Life Event__NewPart.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15301,Married,,Life Event,,Married,2005,Life Event__Married.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14101,Married,,Life Event,,Married,2006,Life Event__Married.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14801,Married,,Life Event,,Married,2007,Life Event__Married.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15401,Married,,Life Event,,Married,2008,Life Event__Married.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15601,Married,,Life Event,,Married,2009,Life Event__Married.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15901,Married,,Life Event,,Married,2010,Life Event__Married.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15104,Married,,Life Event,,Married,2011,Life Event__Married.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15004,Married,,Life Event,,Married,2012,Life Event__Married.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15704,Married,,Life Event,,Married,2013,Life Event__Married.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15004,Married,,Life Event,,Married,2014,Life Event__Married.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17304,Married,,Life Event,,Married,2015,Life Event__Married.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15325,Mother Died,,Life Event,,MomDied,2005,Life Event__MomDied.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14125,Mother Died,,Life Event,,MomDied,2006,Life Event__MomDied.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14828,Mother Died,,Life Event,,MomDied,2007,Life Event__MomDied.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15428,Mother Died,,Life Event,,MomDied,2008,Life Event__MomDied.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15628,Mother Died,,Life Event,,MomDied,2009,Life Event__MomDied.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15928,Mother Died,,Life Event,,MomDied,2010,Life Event__MomDied.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15131,Mother Died,,Life Event,,MomDied,2011,Life Event__MomDied.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15031,Mother Died,,Life Event,,MomDied,2012,Life Event__MomDied.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15731,Mother Died,,Life Event,,MomDied,2013,Life Event__MomDied.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15031,Mother Died,,Life Event,,MomDied,2014,Life Event__MomDied.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17331,Mother Died,,Life Event,,MomDied,2015,Life Event__MomDied.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15304,Moved In Together,,Life Event,,MoveIn,2005,Life Event__MoveIn.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14104,Moved In Together,,Life Event,,MoveIn,2006,Life Event__MoveIn.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14804,Moved In Together,,Life Event,,MoveIn,2007,Life Event__MoveIn.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15404,Moved In Together,,Life Event,,MoveIn,2008,Life Event__MoveIn.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15604,Moved In Together,,Life Event,,MoveIn,2009,Life Event__MoveIn.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15904,Moved In Together,,Life Event,,MoveIn,2010,Life Event__MoveIn.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15107,Moved In Together,,Life Event,,MoveIn,2011,Life Event__MoveIn.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15007,Moved In Together,,Life Event,,MoveIn,2012,Life Event__MoveIn.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15707,Moved In Together,,Life Event,,MoveIn,2013,Life Event__MoveIn.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15007,Moved In Together,,Life Event,,MoveIn,2014,Life Event__MoveIn.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17307,Moved In Together,,Life Event,,MoveIn,2015,Life Event__MoveIn.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15319,Partner Died,,Life Event,,PartDied,2005,Life Event__PartDied.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14119,Partner Died,,Life Event,,PartDied,2006,Life Event__PartDied.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14822,Partner Died,,Life Event,,PartDied,2007,Life Event__PartDied.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15422,Partner Died,,Life Event,,PartDied,2008,Life Event__PartDied.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15622,Partner Died,,Life Event,,PartDied,2009,Life Event__PartDied.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15922,Partner Died,,Life Event,,PartDied,2010,Life Event__PartDied.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15125,Partner Died,,Life Event,,PartDied,2011,Life Event__PartDied.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15025,Partner Died,,Life Event,,PartDied,2012,Life Event__PartDied.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15725,Partner Died,,Life Event,,PartDied,2013,Life Event__PartDied.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15025,Partner Died,,Life Event,,PartDied,2014,Life Event__PartDied.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17325,Partner Died,,Life Event,,PartDied,2015,Life Event__PartDied.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15313,Separated From Partner,,Life Event,,SepPart,2005,Life Event__SepPart.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14113,Separated From Partner,,Life Event,,SepPart,2006,Life Event__SepPart.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14816,Separated From Partner,,Life Event,,SepPart,2007,Life Event__SepPart.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15416,Separated From Partner,,Life Event,,SepPart,2008,Life Event__SepPart.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15616,Separated From Partner,,Life Event,,SepPart,2009,Life Event__SepPart.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15916,Separated From Partner,,Life Event,,SepPart,2010,Life Event__SepPart.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15119,Separated From Partner,,Life Event,,SepPart,2011,Life Event__SepPart.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15019,Separated From Partner,,Life Event,,SepPart,2012,Life Event__SepPart.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15719,Separated From Partner,,Life Event,,SepPart,2013,Life Event__SepPart.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15019,Separated From Partner,,Life Event,,SepPart,2014,Life Event__SepPart.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17319,Separated From Partner,,Life Event,,SepPart,2015,Life Event__SepPart.2015,1,,,1 = experienced; 0 = did not experience
